,0
181,8870.0
182,8870.0
183,8969.0
184,8969.0
185,9069.0
186,9069.0
187,9168.0
188,9168.0
189,9268.0
190,9268.0
191,9268.0
192,9367.0
193,9367.0
194,9467.0
195,9467.0
196,9566.0
197,9566.0
198,9666.0
199,9666.0
200,9765.0
201,9765.0
202,9865.0
203,9865.0
204,9964.0
205,9964.0
206,10063.0
207,10063.0
208,10163.0
209,10163.0
210,10262.0
211,10262.0
212,10262.0
213,10361.0
214,10361.0
215,10460.0
216,10460.0
217,10560.0
218,10560.0
219,10659.0
220,10659.0
221,10758.0
222,10758.0
223,10857.0
224,10857.0
225,10956.0
226,10956.0
227,11055.0
228,11055.0
229,11154.0
230,11154.0
231,11254.0
232,11254.0
233,11353.0
234,11353.0
235,11353.0
236,11452.0
237,11452.0
238,11550.0
239,11550.0
240,11649.0
241,11649.0
242,11748.0
243,11748.0
244,11847.0
245,11847.0
246,11946.0
247,11946.0
248,12045.0
249,12045.0
250,12144.0
251,12144.0
252,12243.0
253,12243.0
254,12341.0
255,12341.0
256,12341.0
257,12440.0
258,12440.0
259,12539.0
260,12539.0
261,12637.0
262,12637.0
263,12736.0
264,12736.0
265,12835.0
266,12835.0
267,12933.0
268,12933.0
269,13032.0
270,13032.0
271,13130.0
272,13130.0
273,13229.0
274,13229.0
275,13327.0
276,13327.0
277,13327.0
278,13425.0
279,13425.0
280,13524.0
281,13524.0
282,13622.0
283,13622.0
284,13721.0
285,13721.0
286,13819.0
287,13819.0
288,13917.0
289,13917.0
290,14015.0
291,14015.0
292,14113.0
293,14113.0
294,14212.0
295,14212.0
296,14310.0
297,14310.0
298,14408.0
299,14408.0
300,14408.0
301,14506.0
302,14506.0
303,14604.0
304,14604.0
305,14702.0
306,14702.0
307,14800.0
308,14800.0
309,14898.0
310,14898.0
311,14996.0
312,14996.0
313,15093.0
314,15093.0
315,15191.0
316,15191.0
317,15289.0
318,15289.0
319,15387.0
320,15387.0
321,15387.0
322,15485.0
323,15485.0
324,15582.0
325,15582.0
326,15680.0
327,15680.0
328,15777.0
329,15777.0
330,15875.0
331,15875.0
332,15972.0
333,15972.0
334,16070.0
335,16070.0
336,16167.0
337,16167.0
338,16265.0
339,16265.0
340,16362.0
341,16362.0
342,16362.0
343,16459.0
344,16459.0
345,16557.0
346,16557.0
347,16654.0
348,16654.0
349,16751.0
350,16751.0
351,16848.0
352,16848.0
353,16946.0
354,16946.0
355,17043.0
356,17043.0
357,17140.0
358,17140.0
359,17237.0
360,17237.0
361,17334.0
362,17334.0
363,17334.0
364,17431.0
365,17431.0
366,17527.0
367,17527.0
368,17624.0
369,17624.0
370,17721.0
371,17721.0
372,17818.0
373,17818.0
374,17915.0
375,17915.0
376,18011.0
377,18011.0
378,18108.0
379,18108.0
380,18205.0
381,18205.0
382,18301.0
383,18301.0
384,18398.0
385,18398.0
386,18398.0
387,18494.0
388,18494.0
389,18590.0
390,18590.0
391,18687.0
392,18687.0
393,18783.0
394,18783.0
395,18879.0
396,18879.0
397,18976.0
398,18976.0
399,19072.0
400,19072.0
401,19168.0
402,19168.0
403,19264.0
404,19264.0
405,19360.0
406,19360.0
407,19360.0
408,19456.0
409,19456.0
410,19552.0
411,19552.0
412,19648.0
413,19648.0
414,19744.0
415,19744.0
416,19840.0
417,19840.0
418,19936.0
419,19936.0
420,20031.0
421,20031.0
422,20127.0
423,20127.0
424,20223.0
425,20223.0
426,20318.0
427,20318.0
428,20318.0
429,20414.0
430,20414.0
431,20509.0
432,20509.0
433,20605.0
434,20605.0
435,20700.0
436,20700.0
437,20796.0
438,20796.0
439,20891.0
440,20891.0
441,20986.0
442,20986.0
443,21081.0
444,21081.0
445,21177.0
446,21177.0
447,21272.0
448,21272.0
449,21367.0
450,21367.0
451,21367.0
452,21462.0
453,21462.0
454,21557.0
455,21557.0
456,21652.0
457,21652.0
458,21746.0
459,21746.0
460,21841.0
461,21841.0
462,21936.0
463,21936.0
464,22031.0
465,22031.0
466,22125.0
467,22125.0
468,22220.0
469,22220.0
470,22315.0
471,22315.0
472,22315.0
473,22409.0
474,22409.0
475,22503.0
476,22503.0
477,22598.0
478,22598.0
479,22692.0
480,22692.0
481,22786.0
482,22786.0
483,22881.0
484,22881.0
485,22975.0
486,22975.0
487,23069.0
488,23069.0
489,23163.0
490,23163.0
491,23257.0
492,23257.0
493,23257.0
494,23351.0
495,23351.0
496,23445.0
497,23445.0
498,23539.0
499,23539.0
500,23633.0
501,23633.0
502,23726.0
503,23726.0
504,23820.0
505,23820.0
506,23914.0
507,23914.0
508,24007.0
509,24007.0
510,24101.0
511,24101.0
512,24194.0
513,24194.0
514,24288.0
515,24288.0
516,24288.0
517,24381.0
518,24381.0
519,24474.0
520,24474.0
521,24567.0
522,24567.0
523,24661.0
524,24661.0
525,24754.0
526,24754.0
527,24847.0
528,24847.0
529,24940.0
530,24940.0
531,25033.0
532,25033.0
533,25126.0
534,25126.0
535,25218.0
536,25218.0
537,25218.0
538,25311.0
539,25311.0
540,25404.0
541,25404.0
542,25497.0
543,25497.0
544,25589.0
545,25589.0
546,25682.0
547,25682.0
548,25774.0
549,25774.0
550,25866.0
551,25866.0
552,25959.0
553,25959.0
554,26051.0
555,26051.0
556,26143.0
557,26143.0
558,26143.0
559,26235.0
560,26235.0
561,26328.0
562,26328.0
563,26420.0
564,26420.0
565,26512.0
566,26512.0
567,26603.0
568,26603.0
569,26695.0
