,0
186,61921.0
187,62052.0
188,62180.0
189,62337.0
190,62460.0
191,62580.0
192,62698.0
193,62843.0
194,62956.0
195,63066.0
196,63201.0
197,63306.0
198,63409.0
199,63509.0
200,63632.0
201,63727.0
202,63819.0
203,63909.0
204,64019.0
205,64104.0
206,64186.0
207,64266.0
208,64362.0
209,64437.0
210,64509.0
211,64596.0
212,64662.0
213,64727.0
214,64788.0
215,64862.0
216,64918.0
217,64972.0
218,65024.0
219,65084.0
220,65130.0
221,65174.0
222,65214.0
223,65262.0
224,65298.0
225,65331.0
226,65368.0
227,65396.0
228,65421.0
229,65443.0
230,65468.0
231,65485.0
232,65499.0
233,65511.0
234,65523.0
235,65529.0
236,65533.0
237,65535.0
238,65533.0
239,65529.0
240,65523.0
241,65511.0
242,65499.0
243,65485.0
244,65468.0
245,65443.0
246,65421.0
247,65396.0
248,65368.0
249,65331.0
250,65298.0
251,65262.0
252,65224.0
253,65174.0
254,65130.0
255,65084.0
256,65024.0
257,64972.0
258,64918.0
259,64862.0
260,64788.0
261,64727.0
262,64662.0
263,64596.0
264,64509.0
265,64437.0
266,64362.0
267,64286.0
268,64186.0
269,64104.0
270,64019.0
271,63909.0
272,63819.0
273,63727.0
274,63632.0
275,63509.0
276,63409.0
277,63306.0
278,63201.0
279,63066.0
280,62956.0
281,62843.0
282,62728.0
283,62580.0
284,62460.0
285,62337.0
286,62180.0
287,62052.0
288,61921.0
289,61788.0
290,61619.0
291,61481.0
292,61340.0
293,61198.0
294,61016.0
295,60868.0
296,60718.0
297,60566.0
298,60372.0
299,60214.0
300,60054.0
301,59851.0
302,59687.0
303,59519.0
304,59350.0
305,59135.0
306,58961.0
307,58784.0
308,58605.0
309,58378.0
310,58195.0
311,58009.0
312,57820.0
313,57582.0
314,57389.0
315,57194.0
316,56947.0
317,56747.0
318,56544.0
319,56340.0
320,56082.0
321,55873.0
322,55661.0
323,55448.0
324,55178.0
325,54960.0
326,54740.0
327,54518.0
328,54238.0
329,54011.0
330,53782.0
331,53493.0
332,53260.0
333,53025.0
334,52788.0
335,52488.0
336,52246.0
337,52003.0
338,51757.0
339,51447.0
340,51197.0
341,50945.0
342,50691.0
343,50371.0
344,50113.0
345,49853.0
346,49525.0
347,49261.0
348,48995.0
349,48727.0
350,48389.0
351,48117.0
352,47843.0
353,47567.0
354,47220.0
355,46941.0
356,46659.0
357,46376.0
358,46019.0
359,45732.0
360,45443.0
361,45080.0
362,44787.0
363,44493.0
364,44197.0
365,43824.0
366,43524.0
367,43223.0
368,42920.0
369,42539.0
370,42232.0
371,41924.0
372,41614.0
373,41224.0
374,40911.0
375,40596.0
376,40200.0
377,39882.0
378,39562.0
379,39241.0
380,38837.0
381,38512.0
382,38186.0
383,37859.0
384,37447.0
385,37117.0
386,36785.0
387,36451.0
388,36032.0
389,35696.0
390,35358.0
391,34934.0
392,34593.0
393,34251.0
394,33907.0
395,33476.0
396,33130.0
397,32782.0
398,32433.0
399,31995.0
400,31644.0
401,31291.0
402,30937.0
403,30493.0
404,30137.0
405,29779.0
406,29331.0
407,28970.0
408,28609.0
409,28247.0
410,27792.0
411,27428.0
412,27062.0
413,26695.0
414,26235.0
415,25866.0
416,25497.0
417,25126.0
418,24661.0
419,24288.0
420,23914.0
421,23445.0
422,23069.0
423,22692.0
424,22315.0
425,21841.0
426,21462.0
427,21081.0
428,20700.0
429,20223.0
430,19840.0
431,19456.0
432,19072.0
433,18590.0
434,18205.0
435,17818.0
436,17334.0
437,16946.0
438,16557.0
439,16167.0
440,15680.0
441,15289.0
442,14898.0
443,14506.0
444,14015.0
445,13622.0
446,13229.0
447,12835.0
448,12341.0
