,0
471,34049.0
472,33848.0
473,33647.0
474,33396.0
475,33195.0
476,32994.0
477,32793.0
478,32542.0
479,32341.0
480,32139.0
481,31888.0
482,31687.0
483,31486.0
484,31285.0
485,31034.0
486,30834.0
487,30633.0
488,30432.0
489,30182.0
490,29981.0
491,29781.0
492,29581.0
493,29331.0
494,29131.0
495,28931.0
496,28682.0
497,28482.0
498,28283.0
499,28084.0
500,27835.0
501,27637.0
502,27438.0
503,27240.0
504,26993.0
505,26795.0
506,26597.0
507,26400.0
508,26153.0
509,25957.0
510,25760.0
511,25515.0
512,25319.0
513,25123.0
514,24928.0
515,24684.0
516,24489.0
517,24295.0
518,24101.0
519,23859.0
520,23665.0
521,23473.0
522,23280.0
523,23040.0
524,22848.0
525,22656.0
526,22418.0
527,22227.0
528,22037.0
529,21847.0
530,21610.0
531,21422.0
532,21233.0
533,21045.0
534,20811.0
535,20624.0
536,20437.0
537,20251.0
538,20019.0
539,19835.0
540,19650.0
541,19420.0
542,19237.0
543,19054.0
544,18872.0
545,18644.0
546,18463.0
547,18283.0
548,18102.0
549,17878.0
550,17699.0
551,17521.0
552,17343.0
553,17122.0
554,16946.0
555,16770.0
556,16551.0
557,16377.0
558,16203.0
559,16030.0
560,15814.0
561,15642.0
562,15471.0
563,15301.0
564,15089.0
565,14920.0
566,14752.0
567,14584.0
568,14375.0
569,14209.0
570,14044.0
571,13838.0
572,13675.0
573,13512.0
574,13349.0
575,13147.0
576,12987.0
577,12827.0
578,12668.0
579,12470.0
580,12312.0
581,12156.0
582,12000.0
583,11806.0
584,11652.0
585,11498.0
586,11308.0
587,11156.0
588,11006.0
589,10856.0
590,10669.0
591,10521.0
592,10374.0
593,10228.0
594,10046.0
595,9902.0
596,9758.0
597,9615.0
598,9438.0
599,9297.0
600,9158.0
601,8984.0
602,8846.0
603,8709.0
604,8573.0
605,8404.0
606,8270.0
607,8137.0
608,8005.0
609,7841.0
610,7711.0
611,7582.0
612,7454.0
613,7295.0
614,7169.0
615,7044.0
616,6889.0
617,6766.0
618,6645.0
619,6524.0
620,6374.0
621,6255.0
622,6138.0
623,6021.0
624,5877.0
625,5762.0
626,5649.0
627,5537.0
628,5398.0
629,5288.0
630,5179.0
631,5044.0
632,4937.0
633,4831.0
634,4727.0
635,4598.0
636,4496.0
637,4394.0
638,4294.0
639,4171.0
640,4073.0
641,3977.0
642,3881.0
643,3763.0
644,3670.0
645,3579.0
646,3465.0
647,3376.0
648,3287.0
649,3200.0
650,3093.0
651,3008.0
652,2924.0
653,2842.0
654,2741.0
655,2661.0
656,2582.0
657,2504.0
658,2409.0
659,2334.0
660,2260.0
661,2169.0
662,2098.0
663,2027.0
664,1958.0
665,1874.0
666,1807.0
667,1742.0
668,1678.0
669,1599.0
670,1538.0
671,1478.0
672,1419.0
673,1346.0
674,1290.0
675,1235.0
676,1167.0
677,1115.0
678,1063.0
679,1013.0
680,952.0
681,904.0
682,858.0
683,813.0
684,758.0
685,716.0
686,675.0
687,635.0
688,587.0
689,549.0
690,513.0
691,470.0
692,437.0
693,404.0
694,374.0
695,337.0
696,309.0
697,282.0
698,256.0
699,226.0
700,203.0
701,181.0
702,161.0
703,137.0
704,119.0
705,102.0
706,84.0
707,70.0
708,57.0
709,46.0
710,34.0
711,25.0
712,18.0
713,12.0
714,6.0
715,3.0
716,1.0
717,0.0
718,1.0
719,3.0
720,6.0
721,12.0
722,18.0
723,25.0
724,34.0
725,46.0
726,57.0
727,70.0
728,84.0
729,102.0
730,119.0
731,137.0
732,156.0
733,181.0
734,203.0
735,226.0
736,256.0
737,282.0
738,309.0
739,337.0
740,374.0
741,404.0
742,437.0
743,470.0
744,513.0
745,549.0
746,587.0
747,625.0
748,675.0
749,716.0
750,758.0
751,813.0
752,858.0
753,904.0
754,952.0
755,1013.0
756,1063.0
757,1115.0
758,1167.0
759,1235.0
760,1290.0
761,1346.0
762,1404.0
763,1478.0
764,1538.0
765,1599.0
766,1678.0
767,1742.0
768,1807.0
769,1874.0
770,1958.0
771,2027.0
772,2098.0
773,2169.0
774,2260.0
775,2334.0
776,2409.0
777,2485.0
778,2582.0
779,2661.0
780,2741.0
781,2842.0
782,2924.0
783,3008.0
784,3093.0
785,3200.0
